EmployeeID,Name,Department,Position,Location,Salary,HireDate,PerformanceScore
EMP0105,Employee 105,Engineering,Lead Engineering,London,192995,2022-12-02,3.2
EMP0106,Employee 106,Finance,Lead Finance,San Francisco,116721,2022-11-22,3.0
EMP0107,Employee 107,Operations,Analyst Operation,Sydney,165412,2021-02-18,5.0
EMP0108,Employee 108,Operations,Manager Operation,Berlin,129401,2023-09-04,4.5
EMP0109,Employee 109,Sales,Junior Sale,Berlin,165761,2020-08-24,2.6
EMP0110,Employee 110,Marketing,Senior Marketing,San Francisco,94263,2020-12-08,4.4
EMP0111,Employee 111,Marketing,Junior Marketing,New York,147491,2023-02-13,4.2
EMP0112,Employee 112,Engineering,Senior Engineering,Berlin,166458,2022-06-05,3.2
EMP0113,Employee 113,Marketing,Analyst Marketing,San Francisco,63309,2023-04-04,4.7
EMP0114,Employee 114,Engineering,Manager Engineering,Berlin,123041,2023-04-25,3.0
EMP0115,Employee 115,Finance,Lead Finance,Tokyo,166717,2022-06-12,4.6
EMP0116,Employee 116,Engineering,Senior Engineering,Tokyo,180638,2020-05-08,3.3
EMP0117,Employee 117,Engineering,Director Engineering,San Francisco,94119,2021-07-22,2.6
EMP0118,Employee 118,Finance,Junior Finance,New York,110927,2020-10-07,4.3
EMP0119,Employee 119,Finance,Analyst Finance,New York,135376,2020-12-11,4.9
EMP0120,Employee 120,Finance,Lead Finance,Berlin,185268,2021-09-11,3.5
EMP0121,Employee 121,Sales,Manager Sale,Sydney,148064,2021-01-26,2.6
EMP0122,Employee 122,Finance,Senior Finance,San Francisco,122254,2023-11-24,3.8
EMP0123,Employee 123,Marketing,Analyst Marketing,Tokyo,173772,2021-06-29,4.8
EMP0124,Employee 124,HR,Lead HR,Berlin,194488,2023-01-03,3.3
EMP0125,Employee 125,Operations,Analyst Operation,London,72567,2023-09-23,5.0
EMP0126,Employee 126,Engineering,Senior Engineering,San Francisco,82639,2020-01-23,4.5
EMP0127,Employee 127,Operations,Director Operation,Berlin,190519,2023-11-14,3.6
EMP0128,Employee 128,Marketing,Senior Marketing,San Francisco,77262,2022-07-29,4.0
EMP0129,Employee 129,HR,Manager HR,London,129531,2020-03-18,4.0
EMP0130,Employee 130,Operations,Manager Operation,Tokyo,81718,2022-12-30,4.5
EMP0131,Employee 131,HR,Director HR,London,140650,2022-03-02,3.0
EMP0132,Employee 132,Sales,Senior Sale,San Francisco,128066,2020-11-19,3.9
EMP0133,Employee 133,Operations,Manager Operation,London,171348,2021-03-09,2.9
EMP0134,Employee 134,Marketing,Junior Marketing,Tokyo,157076,2020-11-10,4.3
EMP0135,Employee 135,HR,Senior HR,New York,132222,2021-03-31,4.7
EMP0136,Employee 136,Sales,Lead Sale,Sydney,48051,2022-07-27,4.5
EMP0137,Employee 137,Finance,Junior Finance,San Francisco,105428,2023-09-29,3.2
EMP0138,Employee 138,HR,Manager HR,London,184284,2021-12-02,2.8
EMP0139,Employee 139,HR,Senior HR,Sydney,170301,2020-06-14,4.1
EMP0140,Employee 140,Sales,Manager Sale,San Francisco,137048,2023-08-15,4.2
EMP0141,Employee 141,Marketing,Lead Marketing,London,100661,2021-08-29,5.0
EMP0142,Employee 142,Engineering,Lead Engineering,Berlin,113162,2022-07-15,5.0
EMP0143,Employee 143,Engineering,Director Engineering,San Francisco,40622,2023-12-24,4.7
EMP0144,Employee 144,HR,Lead HR,Tokyo,193499,2022-08-15,3.1
EMP0145,Employee 145,Marketing,Analyst Marketing,New York,73739,2020-06-28,2.8
EMP0146,Employee 146,Marketing,Senior Marketing,New York,130506,2021-01-21,3.9
EMP0147,Employee 147,Engineering,Lead Engineering,Tokyo,98264,2020-05-10,2.7
EMP0148,Employee 148,Finance,Senior Finance,Tokyo,149094,2020-01-21,3.3
EMP0149,Employee 149,Finance,Manager Finance,Berlin,148342,2021-05-29,3.6
EMP0150,Employee 150,Engineering,Junior Engineering,San Francisco,179215,2023-01-21,4.5
EMP0151,Employee 151,Finance,Manager Finance,San Francisco,188135,2021-10-01,4.6
EMP0152,Employee 152,HR,Director HR,New York,77662,2022-05-18,4.0
EMP0153,Employee 153,HR,Lead HR,Sydney,51677,2023-08-15,3.0
EMP0154,Employee 154,HR,Lead HR,San Francisco,70032,2022-01-14,4.0
EMP0155,Employee 155,Finance,Director Finance,New York,193369,2022-07-11,3.8
EMP0156,Employee 156,Operations,Manager Operation,Berlin,167294,2021-07-22,5.0
EMP0157,Employee 157,Finance,Lead Finance,Berlin,130021,2023-12-24,3.1
EMP0158,Employee 158,Operations,Senior Operation,San Francisco,164662,2020-06-02,2.8
EMP0159,Employee 159,Operations,Senior Operation,London,192198,2023-07-06,3.4
EMP0160,Employee 160,Operations,Manager Operation,Berlin,100954,2023-08-07,4.7
EMP0161,Employee 161,Marketing,Lead Marketing,San Francisco,164776,2022-04-20,4.8
EMP0162,Employee 162,Finance,Senior Finance,Sydney,180384,2021-07-12,4.8
EMP0163,Employee 163,Engineering,Senior Engineering,Tokyo,82069,2023-03-17,4.6
EMP0164,Employee 164,Sales,Director Sale,Tokyo,189376,2020-02-26,4.8
EMP0165,Employee 165,Finance,Lead Finance,San Francisco,196431,2021-09-18,4.2
EMP0166,Employee 166,Operations,Senior Operation,Tokyo,137746,2022-06-28,2.6
EMP0167,Employee 167,Operations,Senior Operation,San Francisco,89947,2022-03-26,5.0
EMP0168,Employee 168,Marketing,Lead Marketing,Berlin,81558,2023-04-17,3.4
EMP0169,Employee 169,Operations,Lead Operation,Berlin,143687,2022-05-08,4.5
EMP0170,Employee 170,Finance,Analyst Finance,Tokyo,55376,2020-09-29,4.0
EMP0171,Employee 171,HR,Manager HR,Sydney,125076,2021-05-21,4.6
EMP0172,Employee 172,Sales,Director Sale,San Francisco,127112,2022-08-03,3.6
EMP0173,Employee 173,HR,Lead HR,Sydney,190755,2022-12-19,4.4
EMP0174,Employee 174,Finance,Junior Finance,Sydney,147723,2022-01-24,3.3
EMP0175,Employee 175,Marketing,Senior Marketing,Tokyo,126532,2022-01-05,2.6
EMP0176,Employee 176,Engineering,Lead Engineering,London,84459,2023-12-29,4.3
EMP0177,Employee 177,Marketing,Manager Marketing,Sydney,156832,2020-03-08,4.3
EMP0178,Employee 178,Operations,Senior Operation,Berlin,92413,2021-12-29,3.0
EMP0179,Employee 179,Marketing,Junior Marketing,San Francisco,52840,2022-12-04,4.5
EMP0180,Employee 180,Operations,Lead Operation,Sydney,52619,2023-09-26,2.7
EMP0181,Employee 181,Marketing,Director Marketing,Tokyo,110051,2020-04-22,2.6
EMP0182,Employee 182,Finance,Lead Finance,Sydney,68096,2021-01-10,3.5
EMP0183,Employee 183,Sales,Junior Sale,New York,69051,2023-07-20,2.9
EMP0184,Employee 184,Marketing,Junior Marketing,New York,109500,2023-04-09,3.6
EMP0185,Employee 185,HR,Manager HR,Berlin,111107,2020-11-07,3.7
EMP0186,Employee 186,Operations,Analyst Operation,London,106815,2020-11-08,4.4
EMP0187,Employee 187,Sales,Director Sale,London,113880,2021-01-29,3.4
EMP0188,Employee 188,Engineering,Director Engineering,Berlin,80273,2020-08-03,3.5
EMP0189,Employee 189,Marketing,Senior Marketing,New York,112894,2020-01-08,3.9
EMP0190,Employee 190,Marketing,Senior Marketing,Tokyo,157015,2020-11-12,3.2
EMP0191,Employee 191,Finance,Junior Finance,Berlin,183536,2020-11-01,3.1
EMP0192,Employee 192,Operations,Director Operation,Berlin,127389,2021-05-10,2.5
EMP0193,Employee 193,Finance,Manager Finance,Sydney,84608,2022-10-13,3.2
EMP0194,Employee 194,Finance,Junior Finance,New York,56412,2023-06-10,2.7
EMP0195,Employee 195,Marketing,Director Marketing,Berlin,82967,2023-06-27,4.5
EMP0196,Employee 196,Operations,Senior Operation,Tokyo,106760,2021-08-26,3.6
EMP0197,Employee 197,Marketing,Analyst Marketing,Berlin,143230,2023-01-28,2.6
EMP0198,Employee 198,Operations,Director Operation,New York,141424,2020-02-16,4.6
EMP0199,Employee 199,Sales,Lead Sale,Tokyo,41217,2023-07-10,2.9
EMP0200,Employee 200,Engineering,Senior Engineering,New York,71388,2021-02-14,2.9
EMP0201,Employee 201,HR,Senior HR,Sydney,87349,2023-03-06,3.9
EMP0202,Employee 202,Marketing,Junior Marketing,Tokyo,59991,2023-08-07,3.0
EMP0203,Employee 203,HR,Lead HR,Berlin,45868,2023-02-26,3.8
EMP0204,Employee 204,Operations,Director Operation,Berlin,172983,2023-04-17,3.9
EMP0205,Employee 205,Finance,Senior Finance,London,98828,2020-04-25,3.3
EMP0206,Employee 206,Finance,Director Finance,Tokyo,189985,2020-08-04,4.2
EMP0207,Employee 207,Finance,Junior Finance,Berlin,57879,2021-06-30,4.3
EMP0208,Employee 208,Finance,Senior Finance,New York,140112,2021-02-10,4.2
EMP0209,Employee 209,Marketing,Lead Marketing,Sydney,182766,2021-02-05,4.7
EMP0210,Employee 210,Sales,Manager Sale,Sydney,77167,2021-04-30,4.5
EMP0211,Employee 211,Engineering,Director Engineering,Berlin,57832,2022-05-21,2.8
EMP0212,Employee 212,Sales,Director Sale,San Francisco,179083,2022-09-04,3.1
EMP0213,Employee 213,Sales,Analyst Sale,New York,191213,2022-02-21,3.1
EMP0214,Employee 214,Engineering,Manager Engineering,New York,109113,2023-11-20,3.4
EMP0215,Employee 215,HR,Junior HR,Tokyo,127571,2020-10-17,3.2
EMP0216,Employee 216,HR,Lead HR,Tokyo,104860,2022-02-04,4.5
EMP0217,Employee 217,Engineering,Junior Engineering,New York,118023,2021-10-06,4.6
EMP0218,Employee 218,Engineering,Director Engineering,Tokyo,189736,2022-12-23,2.9
EMP0219,Employee 219,Engineering,Manager Engineering,Sydney,69880,2021-02-09,4.9
EMP0220,Employee 220,Engineering,Senior Engineering,Tokyo,97997,2023-07-26,4.6
EMP0221,Employee 221,Engineering,Manager Engineering,San Francisco,139130,2023-09-14,4.5
EMP0222,Employee 222,Finance,Analyst Finance,New York,194247,2022-03-24,4.7
EMP0223,Employee 223,Engineering,Junior Engineering,San Francisco,62882,2022-04-02,5.0
EMP0224,Employee 224,Finance,Senior Finance,San Francisco,40130,2023-04-04,4.1
EMP0225,Employee 225,HR,Senior HR,Berlin,168992,2023-07-24,2.7
EMP0226,Employee 226,Operations,Manager Operation,Berlin,179980,2020-08-02,3.4
EMP0227,Employee 227,Finance,Director Finance,Sydney,159372,2021-02-13,5.0
EMP0228,Employee 228,Engineering,Analyst Engineering,London,43439,2023-03-23,4.2
EMP0229,Employee 229,Operations,Analyst Operation,Sydney,157301,2021-08-15,4.9
EMP0230,Employee 230,HR,Manager HR,San Francisco,54377,2023-11-11,4.1
EMP0231,Employee 231,HR,Senior HR,London,72922,2023-11-23,4.2
EMP0232,Employee 232,Operations,Lead Operation,New York,96486,2021-02-13,3.4
EMP0233,Employee 233,Finance,Senior Finance,Berlin,182874,2022-03-27,3.0
EMP0234,Employee 234,Marketing,Senior Marketing,London,44524,2022-09-22,3.6
EMP0235,Employee 235,Sales,Director Sale,Tokyo,125619,2022-09-16,4.2
EMP0236,Employee 236,Marketing,Senior Marketing,Sydney,62170,2023-10-07,3.8
EMP0237,Employee 237,Marketing,Senior Marketing,Berlin,107055,2022-11-28,4.3
EMP0238,Employee 238,Sales,Lead Sale,San Francisco,86258,2021-08-31,4.4
EMP0239,Employee 239,HR,Analyst HR,London,68594,2022-08-21,4.4
EMP0240,Employee 240,Engineering,Director Engineering,New York,57082,2022-01-22,3.3
EMP0241,Employee 241,Operations,Analyst Operation,New York,192101,2023-04-04,3.1
EMP0242,Employee 242,Engineering,Senior Engineering,New York,61822,2021-06-29,2.5
EMP0243,Employee 243,Finance,Manager Finance,London,130064,2020-09-28,2.7
EMP0244,Employee 244,HR,Director HR,Sydney,53647,2021-03-22,4.1
EMP0245,Employee 245,Operations,Analyst Operation,Berlin,175633,2022-01-02,4.7
EMP0246,Employee 246,Operations,Manager Operation,Sydney,100525,2021-07-22,4.1
EMP0247,Employee 247,Finance,Senior Finance,London,164278,2023-08-28,3.0
EMP0248,Employee 248,HR,Manager HR,Sydney,187161,2022-06-29,4.9
EMP0249,Employee 249,Sales,Analyst Sale,Tokyo,75562,2020-11-26,4.0
EMP0250,Employee 250,Operations,Junior Operation,London,117663,2020-04-20,3.9
EMP0251,Employee 251,Engineering,Senior Engineering,Sydney,50528,2022-02-03,2.9
EMP0252,Employee 252,HR,Senior HR,Sydney,81375,2020-07-04,3.9
EMP0253,Employee 253,HR,Junior HR,New York,124725,2020-08-16,3.6
EMP0254,Employee 254,Finance,Senior Finance,Tokyo,155178,2020-09-10,3.8
EMP0255,Employee 255,Operations,Lead Operation,Berlin,187137,2020-08-25,3.7
EMP0256,Employee 256,HR,Analyst HR,New York,123347,2020-11-30,4.9
EMP0257,Employee 257,Engineering,Director Engineering,London,135159,2023-12-10,3.6
EMP0258,Employee 258,Operations,Junior Operation,Tokyo,111591,2021-03-15,3.3
EMP0259,Employee 259,Engineering,Analyst Engineering,Sydney,166472,2022-06-28,2.8
EMP0260,Employee 260,Operations,Senior Operation,Tokyo,146708,2022-01-22,4.7
EMP0261,Employee 261,Marketing,Manager Marketing,Berlin,88524,2023-05-18,4.0
EMP0262,Employee 262,Operations,Lead Operation,Sydney,165630,2020-09-28,3.5
EMP0263,Employee 263,Operations,Senior Operation,London,78956,2023-06-28,4.0
EMP0264,Employee 264,Engineering,Senior Engineering,London,168408,2020-02-10,4.5
EMP0265,Employee 265,Marketing,Lead Marketing,Berlin,138189,2020-02-29,3.8
EMP0266,Employee 266,Marketing,Manager Marketing,New York,106639,2021-10-26,4.3
EMP0267,Employee 267,Marketing,Senior Marketing,Tokyo,143729,2021-11-05,4.9
EMP0268,Employee 268,Operations,Lead Operation,Sydney,144518,2021-11-12,3.7
EMP0269,Employee 269,HR,Lead HR,San Francisco,101625,2022-12-04,3.0
EMP0270,Employee 270,Operations,Manager Operation,Sydney,163102,2022-10-26,3.6
EMP0271,Employee 271,HR,Junior HR,New York,152998,2023-11-06,3.7
EMP0272,Employee 272,Finance,Manager Finance,New York,54620,2023-11-25,3.9
EMP0273,Employee 273,Marketing,Analyst Marketing,New York,171423,2020-03-06,2.8
EMP0274,Employee 274,Engineering,Senior Engineering,Tokyo,193343,2021-10-12,3.0
EMP0275,Employee 275,Engineering,Director Engineering,London,198221,2021-09-04,4.3
EMP0276,Employee 276,Operations,Manager Operation,Tokyo,126160,2023-09-02,3.1
EMP0277,Employee 277,HR,Lead HR,Berlin,131437,2021-06-10,2.8
EMP0278,Employee 278,Finance,Senior Finance,New York,144633,2020-01-10,3.4
EMP0279,Employee 279,HR,Junior HR,Sydney,182435,2023-05-15,3.4
EMP0280,Employee 280,Finance,Manager Finance,Sydney,168163,2022-12-06,4.3
EMP0281,Employee 281,Finance,Junior Finance,New York,60452,2020-03-11,3.0
EMP0282,Employee 282,Sales,Junior Sale,Berlin,155264,2020-05-22,2.8
EMP0283,Employee 283,Finance,Senior Finance,London,146608,2021-06-09,4.8
EMP0284,Employee 284,HR,Senior HR,San Francisco,170435,2020-05-30,4.4
EMP0285,Employee 285,Operations,Director Operation,San Francisco,176533,2022-05-28,4.0
EMP0286,Employee 286,Marketing,Lead Marketing,Berlin,125668,2020-06-13,3.1
EMP0287,Employee 287,Sales,Manager Sale,San Francisco,132321,2020-08-08,2.7
EMP0288,Employee 288,Marketing,Director Marketing,San Francisco,174147,2022-01-05,3.6
EMP0289,Employee 289,Engineering,Analyst Engineering,Berlin,98470,2021-07-31,3.6
EMP0290,Employee 290,HR,Director HR,New York,172961,2023-01-31,3.0
EMP0291,Employee 291,Marketing,Director Marketing,New York,114104,2021-10-02,4.1
EMP0292,Employee 292,HR,Director HR,Sydney,160233,2020-09-12,4.6
EMP0293,Employee 293,HR,Senior HR,Sydney,126292,2020-06-27,4.6
EMP0294,Employee 294,Operations,Manager Operation,London,119288,2022-09-27,3.5
EMP0295,Employee 295,Finance,Director Finance,Berlin,61261,2020-05-06,3.2
EMP0296,Employee 296,Operations,Senior Operation,Berlin,97449,2021-06-15,4.8
EMP0297,Employee 297,HR,Lead HR,Berlin,180823,2022-12-28,4.5
EMP0298,Employee 298,Engineering,Lead Engineering,Sydney,130441,2020-01-26,2.8
EMP0299,Employee 299,Operations,Senior Operation,Tokyo,129576,2020-10-28,3.8
EMP0300,Employee 300,Sales,Junior Sale,Berlin,82736,2021-01-13,3.2
EMP0301,Employee 301,Marketing,Lead Marketing,New York,159508,2022-12-28,4.2
EMP0302,Employee 302,Finance,Senior Finance,London,58896,2023-12-25,3.6
EMP0303,Employee 303,Engineering,Junior Engineering,Tokyo,141553,2023-08-04,3.4
EMP0304,Employee 304,Marketing,Lead Marketing,London,137077,2020-07-27,4.0
EMP0305,Employee 305,Sales,Analyst Sale,San Francisco,192382,2021-01-22,2.6
EMP0306,Employee 306,Finance,Director Finance,Tokyo,140801,2021-09-12,4.8
EMP0307,Employee 307,Sales,Director Sale,New York,60423,2023-01-21,4.9
EMP0308,Employee 308,Sales,Director Sale,New York,114984,2020-07-03,2.9
EMP0309,Employee 309,Operations,Senior Operation,New York,181237,2022-07-19,2.7
EMP0310,Employee 310,Operations,Lead Operation,New York,66538,2023-11-19,4.5
EMP0311,Employee 311,Sales,Junior Sale,San Francisco,84404,2023-10-03,4.2
EMP0312,Employee 312,Sales,Senior Sale,Sydney,189612,2020-08-01,3.3
EMP0313,Employee 313,HR,Senior HR,San Francisco,61781,2020-03-01,4.6
EMP0314,Employee 314,Marketing,Lead Marketing,San Francisco,92238,2023-06-24,4.5
EMP0315,Employee 315,Marketing,Director Marketing,London,168316,2023-10-31,2.7
EMP0316,Employee 316,Marketing,Lead Marketing,Berlin,153699,2020-09-28,5.0
EMP0317,Employee 317,Operations,Manager Operation,Tokyo,198774,2023-10-14,4.0
EMP0318,Employee 318,Sales,Lead Sale,Berlin,126629,2021-02-26,2.6
EMP0319,Employee 319,Finance,Manager Finance,New York,68427,2023-08-24,4.9
EMP0320,Employee 320,Finance,Junior Finance,Berlin,121580,2021-02-14,3.1
EMP0321,Employee 321,HR,Manager HR,Sydney,54453,2022-02-22,3.1
EMP0322,Employee 322,Engineering,Manager Engineering,New York,142928,2020-06-09,4.6
EMP0323,Employee 323,Operations,Analyst Operation,Sydney,174692,2020-10-15,3.3
EMP0324,Employee 324,Operations,Manager Operation,Tokyo,57751,2023-01-27,4.0
EMP0325,Employee 325,Marketing,Junior Marketing,New York,51887,2023-01-05,4.8
EMP0326,Employee 326,HR,Analyst HR,New York,56034,2020-11-03,5.0
EMP0327,Employee 327,Sales,Senior Sale,London,47458,2021-01-02,3.6
EMP0328,Employee 328,Sales,Manager Sale,San Francisco,138545,2020-12-11,3.8
EMP0329,Employee 329,HR,Senior HR,London,104604,2023-06-28,2.6
EMP0330,Employee 330,Finance,Manager Finance,Berlin,145387,2020-02-06,4.3
EMP0331,Employee 331,Sales,Senior Sale,Tokyo,63243,2023-02-11,3.1
EMP0332,Employee 332,Sales,Director Sale,London,90699,2022-01-10,3.4
EMP0333,Employee 333,Sales,Manager Sale,Sydney,124317,2023-10-31,4.0
EMP0334,Employee 334,Engineering,Manager Engineering,New York,128588,2023-11-23,3.8
